,duration,probability,predict
843,0.005420684814453125,0.056968919932842255,27
844,0.005416154861450195,0.05461553856730461,27
845,0.005419492721557617,0.0588747002184391,27
846,0.005420207977294922,0.051871027797460556,31
847,0.005411624908447266,0.06759090721607208,31
848,0.005408763885498047,0.06316866725683212,31
849,0.005418062210083008,0.05307330563664436,32
850,0.005404472351074219,0.05267602205276489,31
851,0.005403280258178711,0.05049483850598335,21
852,0.0054209232330322266,0.046573031693696976,31
853,0.005417585372924805,0.045961275696754456,31
854,0.005418062210083008,0.046978894621133804,32
855,0.005416393280029297,0.04683467373251915,32
856,0.0054111480712890625,0.05115462839603424,32
857,0.005413532257080078,0.05083060637116432,32
858,0.005414485931396484,0.047729719430208206,32
859,0.005411624908447266,0.0517091266810894,32
860,0.0054302215576171875,0.052499011158943176,32
861,0.005418300628662109,0.054146066308021545,32
862,0.005408048629760742,0.056031543761491776,32
863,0.005407571792602539,0.047593481838703156,27
864,0.005406856536865234,0.06462355703115463,17
865,0.005412101745605469,0.05859579145908356,36
866,0.005402803421020508,0.09598863869905472,5
867,0.005408048629760742,0.30888456106185913,8
868,0.005408287048339844,0.43049585819244385,8
869,0.005408287048339844,0.33850160241127014,8
870,0.005407810211181641,0.1646852344274521,5
871,0.005411624908447266,0.2508470416069031,13
872,0.0054051876068115234,0.26502323150634766,13
873,0.0054264068603515625,0.4155769348144531,13
874,0.00542902946472168,0.4567236006259918,13
875,0.005414247512817383,0.77292400598526,13
876,0.0054111480712890625,0.7815783023834229,13
877,0.005420207977294922,0.634482204914093,13
878,0.005408287048339844,0.5386425256729126,32
879,0.005409955978393555,0.6441936492919922,32
880,0.005408525466918945,0.6688329577445984,32
881,0.0054094791412353516,0.714203417301178,32
882,0.005408525466918945,0.8082761168479919,32
883,0.010532140731811523,0.9477123618125916,32
884,0.011609315872192383,0.946095883846283,32
885,0.01084756851196289,0.9763833284378052,32
886,0.010950803756713867,0.9808654189109802,32
887,0.010659217834472656,0.9895582795143127,32
888,0.010904312133789062,0.988374650478363,32
889,0.003038167953491211,0.990756094455719,32
890,0.010788440704345703,0.983829140663147,32
891,0.010882139205932617,0.9595418572425842,32
892,0.016653060913085938,0.9190436601638794,32
893,0.005644798278808594,0.7517014145851135,32
894,0.0057332515716552734,0.8860083818435669,32
895,0.005690097808837891,0.8989346027374268,32
896,0.010931730270385742,0.9686325788497925,32
897,0.010971307754516602,0.9613146185874939,32
898,0.010719776153564453,0.9914687871932983,32
899,0.010854959487915039,0.9895408153533936,32
900,0.010991573333740234,0.9899401068687439,32
901,0.010785818099975586,0.9619708061218262,32
902,0.005732536315917969,0.8867378830909729,32
903,0.010724067687988281,0.9135088324546814,32
904,0.005499839782714844,0.6625989675521851,32
905,0.005857229232788086,0.45029085874557495,5
906,0.005772113800048828,0.453461617231369,5
907,0.005514860153198242,0.6172861456871033,27
908,0.0054781436920166016,0.6099048852920532,5
909,0.005429506301879883,0.6325496435165405,5
910,0.005530834197998047,0.454530268907547,5
911,0.005489349365234375,0.49007517099380493,27
912,0.005432605743408203,0.40437766909599304,27
913,0.005453586578369141,0.3946479558944702,5
914,0.005422115325927734,0.633712112903595,27
915,0.005419731140136719,0.5548562407493591,27
916,0.005419254302978516,0.36133867502212524,27
917,0.005422353744506836,0.47385165095329285,3
918,0.005422830581665039,0.6502959728240967,3
919,0.005422353744506836,0.7077077031135559,3
